instance,topic,distribution
1790-0,0,0.07047727272727285
1790-1,0,0.06459409594095948
1791-0,0,0.016859205776173298
1792-0,0,0.04785885167464118
1793-0,0,0.07432855280312914
1794-0,0,0.09287188306104907
1795-0,0,0.07084033613445384
1796-0,0,0.053262890955198684
1797-0,0,0.011721311475409847
1798-0,0,0.023344444444444466
1799-0,0,1.5898251192368856E-5
1800-0,0,0.10072438162544181
1801-0,0,0.05826051779935279
1802-0,0,0.011361916771752847
1803-0,0,0.002534678436317783
1804-0,0,1.240694789081887E-5
1805-0,0,0.027962128043282256
1806-0,0,0.04133872416891287
1807-0,0,0.04467320261437912
1808-0,0,9.69932104752668E-6
1809-0,0,0.02426533523537806
1810-0,0,9.980039920159688E-6
1811-0,0,1.0775862068965525E-5
1812-0,0,0.022195868400918146
1813-0,0,0.02562923888470235
1814-0,0,1.12233445566779E-5
1815-0,0,7.5700227100681344E-6
1816-0,0,0.020930735930735942
1817-0,0,5.787037037037039E-6
1818-0,0,5.7471264367816125E-6
1819-0,0,5.567928730512252E-6
1820-0,0,0.02944076526857985
1821-0,0,4.562043795620434E-6
1822-0,0,6.1576354679802985E-6
1823-0,0,4.08163265306122E-6
1824-0,0,3.231999999999995E-4
1825-0,0,0.023147050522156314
1826-0,0,3.3422459893048097E-6
1827-0,0,0.020026954177897554
1828-0,0,0.011764095468695942
1829-0,0,0.004818203708162763
1830-0,0,0.012568699731903452
1831-0,0,0.02699263932702416
1832-0,0,0.005149565776777087
1833-0,0,3.239390994493028E-6
1834-0,0,1.9872813990460985E-6
1835-0,0,0.010648439390273375
1836-0,0,2.0703933747411953E-6
1837-0,0,2.165908598657129E-6
1838-0,0,2.108814846056509E-6
1839-0,0,1.8663680477790163E-6
1840-0,0,2.711496746203898E-6
1841-0,0,0.010125766871165618
1842-0,0,0.010628689492325826
1843-0,0,0.01060492672279386
1844-0,0,0.014642001597018861
1845-0,0,1.522070015220696E-6
1846-0,0,1.3446282102998489E-6
1847-0,0,1.5053439710973924E-6
1848-0,0,1.1558021266759106E-6
1849-0,0,3.197953309881668E-6
1850-0,0,3.05343511450381E-6
1851-0,0,1.8670649738610856E-6
1852-0,0,2.4740227610093964E-6
1853-0,0,2.4857071836937552E-6
1854-0,0,2.3374218930802992E-4
1855-0,0,2.043735949315341E-6
1856-0,0,0.00942108890420396
1857-0,0,1.8158707100054417E-6
1858-0,0,1.4976785981728281E-6
1859-0,0,6.051467631684739E-4
1860-0,0,1.788268955650924E-6
1861-0,0,3.616636528028927E-6
1862-0,0,3.4305317324185147E-6
1863-0,0,3.9123630672926405E-6
1864-0,0,4.08163265306122E-6
1865-0,0,0.009313354669770122
1866-0,0,3.4317089910775524E-6
1867-0,0,0.025056644880174225
1868-0,0,0.0014821208384710185
1869-0,0,0.01016513178786914
1870-0,0,2.8280542986425267E-6
1871-0,0,0.0033370370370370338
1872-0,0,2.345765892563916E-6
1873-0,0,2.4703557312252897E-6
1874-0,0,2.527167045741717E-6
1875-0,0,0.008688888888888862
1876-0,0,3.6192544335866766E-6
1877-0,0,2.24064530584808E-6
1878-0,0,3.1426775612822087E-6
1879-0,0,2.113718030014791E-6
1880-0,0,1.7711654268508637E-6
1881-0,0,1.8603794437281216E-4
1882-0,0,2.448579823702246E-6
1883-0,0,2.959455460195316E-6
1884-0,0,2.6802465826855995E-6
1885-0,0,1.2081672103419089E-6
1886-0,0,1.5654351909830898E-6
1887-0,0,0.007429234338747083
1888-0,0,0.0031079846519276367
1889-0,0,1.8535681186283546E-6
1890-0,0,2.0458265139116144E-6
1891-0,0,1.5444015444015407E-6
1892-0,0,1.8171906232963793E-6
1893-0,0,1.84774575018477E-6
1894-0,0,1.5015015015014983E-6
1895-0,0,0.004512647011438687
1896-0,0,1.551349674216565E-6
1897-0,0,0.006279870392871593
1898-0,0,1.1743981209630046E-6
1899-0,0,1.0772379618657744E-6
1900-0,0,1.2370113805046984E-6
1901-0,0,0.009050452460642107
1902-0,0,2.5766555011594896E-6
1903-0,0,1.6469038208168607E-6
1904-0,0,0.026442361499720148
1905-0,0,0.0011926514399205543
1906-0,0,0.009674061612869295
1907-0,0,8.991188635137554E-7
1908-0,0,0.003666582406471177
1909-0,0,3.472702142363504E-4
1910-0,0,8.532423208191116E-7
1911-0,0,1.0219724067450165E-6
1912-0,0,9.231905465288024E-7
1913-0,0,7.507507507507512E-6
1914-0,0,6.27352572145546E-6
1915-0,0,0.051346480788847154
1916-0,0,0.010738974970202632
1917-0,0,0.06946137491141038
1918-0,0,4.9627791563275455E-6
1919-0,0,5.050505050505052E-6
1920-0,0,0.0377972350230415
1921-0,0,0.004212962962962961
1922-0,0,3.9761431411530805E-6
1923-0,0,0.0038255733148019385
1924-0,0,3.432887058015785E-6
1925-0,0,2.232641214556815E-6
1926-0,0,2.319109461966599E-6
1927-0,0,2.6476039184537957E-6
1928-0,0,2.7894002789400222E-6
1929-0,0,2.1231422505307807E-6
1930-0,0,4.882812500000002E-6
1931-0,0,3.810975609756095E-6
1932-0,0,5.4466230936819194E-6
1934-0,0,1.0245901639344269E-5
1935-0,0,0.02045514511873352
1936-0,0,0.07792015453960081
1937-0,0,0.04492372881355935
1938-0,0,5.081300813008132E-6
1939-0,0,0.045204017576898965
1940-0,0,0.08624054462934952
1941-0,0,7.429420505200598E-6
1942-0,0,0.03952717007762881
1943-0,0,0.00433207138994051
1944-0,0,0.029305732484076443
1945-0,0,0.025587529976019197
1945-1,0,0.009518454440599735
1946-0,0,7.64876854826372E-7
1947-0,0,0.018460686600221453
1948-0,0,0.006659272404614014
1949-0,0,6.622516556291394E-6
1950-0,0,4.595588235294119E-6
1951-0,0,6.184291898577616E-6
1952-0,0,0.0073541570969223695
1953-0,0,3.167564143173889E-6
1953-1,0,0.02699603764239715
1954-0,0,3.5260930888575403E-6
1955-0,0,2.8240609997175854E-6
1956-0,0,0.010605907599091106
1957-0,0,0.045862428348097985
1958-0,0,0.02285394265232973
1959-0,0,0.03606420404573436
1960-0,0,0.037973653622626856
1961-0,0,0.03130710659898475
1961-1,0,0.006048361438116441
1962-0,0,0.01350776502363266
1963-0,0,4.208754208754206E-6
1964-0,0,0.03612490594431905
1965-0,0,0.057594187298170105
1966-0,0,4.399472063352398E-6
1967-0,0,0.0317994409503843
1968-0,0,0.0414885309907272
1969-0,0,0.035743458838545
1970-0,0,0.008924191750278712
1971-0,0,5.503577325261423E-6
1972-0,0,6.3451776649746225E-6
1972-1,0,1.3012361743656447E-6
1974-0,0,0.018330856859831605
1974-1,0,9.510223490252007E-7
1975-0,0,5.336179295624335E-6
1976-0,0,4.504504504504505E-6
1977-0,0,0.0661601150527325
1978-0,0,0.026567708333333346
1978-1,0,1.572574304135868E-6
1979-0,0,0.03534000000000002
1979-1,0,9.25840199981482E-7
1980-0,0,0.06217931937172778
1980-1,0,5.90911776871713E-7
1981-0,0,5.175983436853004E-6
1981-1,0,5.803156917363044E-7
1982-0,0,0.02721814254859611
1983-0,0,0.010882352941176468
1984-0,0,0.020066874721355328
1985-0,0,0.02183248730964468
1986-0,0,0.00990717821782179
1987-0,0,0.028379571248423722
1988-0,0,0.004692920768870137
1989-0,0,4.7846889952153125E-6
1990-0,0,6.250000000000003E-6
1991-0,0,0.005891701000588584
1992-0,0,4.866180048661802E-6
1993-0,0,3.646973012399707E-6
1994-0,0,3.2499187520311973E-6
1995-0,0,2.811357885858865E-6
1996-0,0,0.003403853418964866
1997-0,0,3.465003465003464E-6
1998-0,0,3.1675641431738976E-6
1999-0,0,9.216166564605018E-4
2000-0,0,0.009713910761154843
2001-0,0,5.1387461459403925E-6
2002-0,0,5.537098560354376E-6
2003-0,0,0.013429617575264442
2004-0,0,0.00875052061640983
2005-0,0,0.018872212692967415
2006-0,0,0.021263286999182347
2007-0,0,0.024574119574119584
2008-0,0,0.014687499999999994
2009-0,0,0.01510731319554849
2010-0,0,3.164556962025312E-6
2011-0,0,0.013387096774193544
2012-0,0,0.011395569620253147
2013-0,0,0.011114379084967317
2014-0,0,3.1357792411414194E-6
2015-0,0,0.014501011463250163
2016-0,0,0.005116004718836019
/E:/DEV/clojure/DataAnalysis/cljs-visual/datas/topic-dists.csv,0,9.803921568627418E-5
1790-0,1,0.020477272727272757
1790-1,1,1.8450184501845044E-5
1791-0,1,1.2033694344163669E-5
1792-0,1,1.1961722488038286E-5
1793-0,1,1.3037809647979151E-5
1794-0,1,8.59845227858986E-6
1795-0,1,1.2004801920768317E-5
1796-0,1,8.453085376162307E-6
1797-0,1,1.1709601873536312E-5
1798-0,1,0.003344444444444447
1799-0,1,1.5898251192368856E-5
1800-0,1,1.766784452296822E-5
1801-0,1,0.009716828478964407
1802-0,1,1.261034047919295E-5
1803-0,1,1.2610340479192952E-5
1804-0,1,1.240694789081887E-5
1805-0,1,9.017132551848517E-6
1806-0,1,8.984725965858047E-6
1807-0,1,1.0893246187363842E-5
1808-0,1,9.69932104752668E-6
1809-0,1,1.4265335235378048E-5
1810-0,1,9.980039920159688E-6
1811-0,1,1.0775862068965525E-5
1812-0,1,7.65110941086458E-6
1813-0,1,7.5357950263752876E-6
1814-0,1,1.12233445566779E-5
1815-0,1,7.5700227100681344E-6
1816-0,1,7.215007215007218E-6
1817-0,1,5.787037037037039E-6
1818-0,1,0.006902298850574716
1819-0,1,5.567928730512252E-6
1820-0,1,7.358351729212661E-6
1821-0,1,0.0045666058394160545
1822-0,1,6.1576354679802985E-6
1823-0,1,4.08163265306122E-6
1824-0,1,3.1999999999999956E-6
1825-0,1,2.8224668360146702E-6
1826-0,1,3.3422459893048097E-6
1827-0,1,3.850596842510585E-6
1828-0,1,3.459010722933238E-6
1829-0,1,0.013968215747652266
1830-0,1,1.6756032171581724E-6
1831-0,1,0.0021065545040308427
1832-0,1,3.2164683177870624E-6
1833-0,1,3.239390994493028E-6
1834-0,1,1.9872813990460985E-6
1835-0,1,0.004841519477377193
1836-0,1,2.0703933747411953E-6
1837-0,1,0.008232618583495747
1838-0,1,0.01455293125263597
1839-0,1,0.0024281448301605004
1840-0,1,0.006781453362255949
1841-0,1,3.0674846625766794E-6
1842-0,1,2.9515938606847618E-6
1843-0,1,0.008734019332709675
1844-0,1,2.6616981634282608E-6
1845-0,1,1.522070015220696E-6
1846-0,1,0.007127874142799498
1847-0,1,1.5053439710973924E-6
1848-0,1,0.013061719833564467
1849-0,1,3.197953309881668E-6
1850-0,1,3.05343511450381E-6
1851-0,1,0.013818147871545896
1852-0,1,0.012867392380009869
1853-0,1,0.02088242605021124
1854-0,1,0.02291367738949311
1855-0,1,0.007972613938279144
