word,weight,topic
war,130.0,0
years,93.0,0
union,85.0,0
mutual,67.0,0
nations,67.0,0
receipts,62.0,0
nation,60.0,0
military,56.0,0
amount,53.0,0
improvement,47.0,0
year,653.0,1
administration,419.0,1
health,274.0,1
nuclear,270.0,1
national,263.0,1
continue,208.0,1
energy,207.0,1
legislation,202.0,1
million,201.0,1
congress,201.0,1
year,319.0,2
duties,308.0,2
country,299.0,2
good,210.0,2
revenue,194.0,2
increase,169.0,2
system,163.0,2
time,158.0,2
received,157.0,2
treasury,154.0,2
mexico,660.0,3
war,419.0,3
country,353.0,3
states,255.0,3
territory,247.0,3
peace,229.0,3
texas,223.0,3
united,217.0,3
part,184.0,3
army,179.0,3
states,69.0,4
law,68.0,4
america,61.0,4
clear,56.0,4
vote,51.0,4
military,48.0,4
terrorist,42.0,4
show,42.0,4
continue,38.0,4
courage,37.0,4
executive,214.0,5
country,174.0,5
view,85.0,5
basis,84.0,5
make,83.0,5
session,78.0,5
citizen,71.0,5
national,69.0,5
called,66.0,5
doubt,63.0,5
america,53.0,6
action,47.0,6
making,45.0,6
welfare,45.0,6
effort,44.0,6
important,42.0,6
community,40.0,6
mutual,34.0,6
approach,33.0,6
differences,32.0,6
tax,116.0,7
veterans,107.0,7
public,102.0,7
production,100.0,7
labor,99.0,7
problem,92.0,7
industries,85.0,7
construction,84.0,7
education,82.0,7
financial,73.0,7
interest,80.0,8
free,77.0,8
freedom,72.0,8
full,70.0,8
purpose,68.0,8
policies,66.0,8
problem,60.0,8
present,60.0,8
effective,58.0,8
balance,57.0,8
made,297.0,9
service,186.0,9
congress,169.0,9
subject,162.0,9
country,147.0,9
general,143.0,9
appropriations,131.0,9
increased,130.0,9
countries,125.0,9
provision,122.0,9
constitution,312.0,10
president,158.0,10
union,147.0,10
june,126.0,10
power,104.0,10
people,99.0,10
fiscal,97.0,10
purpose,93.0,10
congress,85.0,10
ending,84.0,10
government,267.0,11
national,246.0,11
legislation,136.0,11
business,129.0,11
debt,119.0,11
work,112.0,11
future,109.0,11
banks,105.0,11
public,105.0,11
basis,104.0,11
united,134.0,12
republic,67.0,12
april,64.0,12
terms,64.0,12
fact,60.0,12
foreign,57.0,12
annexation,51.0,12
hold,50.0,12
nation,50.0,12
imposed,47.0,12
great,129.0,13
give,127.0,13
measures,113.0,13
business,111.0,13
interest,103.0,13
time,99.0,13
past,88.0,13
influence,83.0,13
peace,81.0,13
question,78.0,13
man,268.0,14
business,177.0,14
people,155.0,14
nation,108.0,14
officers,100.0,14
labor,86.0,14
case,86.0,14
individual,85.0,14
interest,83.0,14
life,79.0,14
national,85.0,15
representatives,85.0,15
navy,82.0,15
persons,79.0,15
labor,71.0,15
time,71.0,15
water,70.0,15
effect,69.0,15
men,64.0,15
hands,63.0,15
government,698.0,16
treaty,547.0,16
united,474.0,16
spain,342.0,16
states,330.0,16
minister,281.0,16
time,197.0,16
years,193.0,16
made,190.0,16
nations,187.0,16
program,159.0,17
million,130.0,17
percent,128.0,17
income,96.0,17
hope,90.0,17
dollars,89.0,17
time,88.0,17
total,84.0,17
good,79.0,17
budget,73.0,17
war,221.0,18
world,210.0,18
conditions,172.0,18
american,132.0,18
labor,130.0,18
industrial,125.0,18
made,106.0,18
law,95.0,18
public,95.0,18
nation,86.0,18
states,817.0,19
government,751.0,19
state,421.0,19
law,296.0,19
subject,246.0,19
rights,241.0,19
united,209.0,19
congress,200.0,19
secretary,199.0,19
large,191.0,19
government,294.0,20
united,174.0,20
states,160.0,20
large,141.0,20
purpose,136.0,20
connection,120.0,20
official,117.0,20
people,115.0,20
commercial,112.0,20
results,108.0,20
great,181.0,21
make,147.0,21
government,139.0,21
policy,134.0,21
people,126.0,21
present,121.0,21
made,114.0,21
peace,106.0,21
time,102.0,21
part,88.0,21
national,171.0,22
nation,167.0,22
past,148.0,22
labor,123.0,22
work,99.0,22
economic,81.0,22
aid,80.0,22
attack,79.0,22
field,70.0,22
greater,70.0,22
legislation,94.0,23
year,65.0,23
imports,52.0,23
miles,50.0,23
exports,45.0,23
naturalization,44.0,23
entitled,44.0,23
contracts,43.0,23
required,43.0,23
annual,42.0,23
freedom,174.0,24
nation,96.0,24
weapons,94.0,24
free,89.0,24
good,78.0,24
country,76.0,24
war,70.0,24
world,69.0,24
fight,66.0,24
democracy,62.0,24
government,345.0,25
country,214.0,25
means,128.0,25
condition,114.0,25
sum,110.0,25
demand,99.0,25
duty,94.0,25
people,91.0,25
action,90.0,25
gold,87.0,25
work,222.0,26
good,205.0,26
system,148.0,26
state,133.0,26
proper,113.0,26
time,107.0,26
conditions,102.0,26
form,102.0,26
army,101.0,26
national,96.0,26
lands,171.0,27
work,109.0,27
progress,95.0,27
war,89.0,27
united,88.0,27
lines,83.0,27
results,83.0,27
power,74.0,27
facilities,72.0,27
land,72.0,27
world,734.0,28
free,422.0,28
nations,371.0,28
peace,255.0,28
military,237.0,28
freedom,235.0,28
economic,198.0,28
united,192.0,28
defense,191.0,28
strength,175.0,28
congress,357.0,29
country,276.0,29
united,270.0,29
states,258.0,29
citizens,216.0,29
report,194.0,29
public,175.0,29
amount,152.0,29
territory,147.0,29
consideration,145.0,29
general,264.0,30
people,262.0,30
constitution,261.0,30
public,208.0,30
character,180.0,30
exercise,157.0,30
congress,152.0,30
constitutional,151.0,30
present,149.0,30
authority,147.0,30
people,455.0,31
government,405.0,31
time,257.0,31
national,179.0,31
security,133.0,31
economic,128.0,31
spirit,123.0,31
recovery,120.0,31
human,118.0,31
future,116.0,31
men,208.0,32
present,106.0,32
work,103.0,32
