instance,topic,distribution
1790-0,0,0.025030303030303055
1790-1,0,0.06460024600246007
1791-0,0,0.12035298836742891
1792-0,0,0.07298245614035095
1793-0,0,0.09780095610604095
1794-0,0,0.059340785325308135
1795-0,0,0.12126450580232098
1796-0,0,0.03974077204846438
1797-0,0,1.561280249804841E-5
1798-0,0,0.09557037037037044
1799-0,0,0.15423423423423444
1800-0,0,0.0883627797408717
1801-0,0,0.09224379719525355
1802-0,0,1.6813787305590594E-5
1803-0,0,0.10089953762084918
1804-0,0,0.04964433416046323
1805-0,0,1.2022843402464692E-5
1806-0,0,0.0691943695717281
1807-0,0,1.4524328249818454E-5
1808-0,0,0.09700614290333016
1809-0,0,0.08561103185924876
1810-0,0,0.10879574184963411
1811-0,0,0.05928160919540234
1812-0,0,0.03903085947462384
1813-0,0,0.07160010047726706
1814-0,0,0.06286569397680514
1815-0,0,0.08176633863234928
1816-0,0,0.06855218855218859
1817-0,0,0.10359567901234573
1818-0,0,0.1057547892720307
1819-0,0,0.08909428359317005
1820-0,0,0.08610252636742706
1821-0,0,0.11861922141119226
1822-0,0,0.04003284072249591
1823-0,0,0.08286258503401363
1824-0,0,0.05888426666666668
1825-0,0,0.030204158434471738
1826-0,0,0.059162210338680944
1827-0,0,0.07355153382107563
1828-0,0,0.03494062031592299
1829-0,0,0.12184284453005861
1830-0,0,0.13170464700625562
1831-0,0,0.11251781750204466
1832-0,0,0.12415996569100464
1833-0,0,0.15257963502861466
1834-0,0,0.19773714891361954
1835-0,0,0.20324542301798537
1836-0,0,0.11967149758454108
1837-0,0,0.19471807089740817
1838-0,0,0.11957261352453256
1839-0,0,0.08809506034590023
1840-0,0,0.0897541576283442
1841-0,0,0.022703476482617595
1842-0,0,0.016532861078315628
1843-0,0,0.056755015071198435
1844-0,0,0.06974004081270518
1845-0,0,0.08036732623033994
1846-0,0,0.08148626238178477
1847-0,0,0.051484770936825734
1848-0,0,0.0573293265526275
1849-0,0,0.06556230679032088
1850-0,0,0.059240712468193395
1851-0,0,0.04350510331092856
1852-0,0,0.034639617351146304
1853-0,0,0.10142016737095039
1854-0,0,0.059017202807991984
1855-0,0,0.09074460113086724
1856-0,0,0.0601914388544299
1857-0,0,0.04539918891108287
1858-0,0,0.07263940891617993
1859-0,0,0.06473931108430506
1860-0,0,0.07868621840724846
1861-0,0,0.03617118746232671
1862-0,0,0.022989136649514012
1863-0,0,0.07942618675013044
1864-0,0,0.020821768707483
1865-0,0,0.03957327126369897
1866-0,0,0.07001143902997027
1867-0,0,0.008499636891793757
1868-0,0,0.017512535963830667
1869-0,0,0.04478035355139198
1870-0,0,0.04270739064856713
1871-0,0,0.020745679012345686
1872-0,0,0.02392993979200876
1873-0,0,3.2938076416337295E-6
1874-0,0,0.010617471148176232
1875-0,0,0.04121481481481482
1876-0,0,0.01592954518035952
1877-0,0,0.030475763686608412
1878-0,0,4.190236748376285E-6
1879-0,0,0.0600324103431269
1880-0,0,2.361553902467824E-6
1881-0,0,0.024868913857677904
1882-0,0,0.005879856349983677
1883-0,0,0.0100660945052777
1884-0,0,0.003219869561332977
1885-0,0,0.017640852160605694
1886-0,0,0.036633270715925696
