word,weight,topic
states,520.0,0
government,412.0,0
united,344.0,0
subject,299.0,0
citizens,293.0,0
treasury,236.0,0
made,221.0,0
condition,218.0,0
public,215.0,0
good,211.0,0
world,227.0,1
free,197.0,1
nations,114.0,1
democracy,68.0,1
united,63.0,1
communist,62.0,1
problem,55.0,1
challenge,46.0,1
peaceful,46.0,1
life,46.0,1
people,510.0,2
work,465.0,2
tonight,453.0,2
americans,361.0,2
jobs,350.0,2
year,347.0,2
tax,304.0,2
time,298.0,2
make,296.0,2
it's,276.0,2
years,96.0,3
national,80.0,3
education,71.0,3
rights,71.0,3
office,70.0,3
international,68.0,3
assistance,63.0,3
water,62.0,3
efforts,62.0,3
congress,61.0,3
congress,740.0,4
government,581.0,4
made,434.0,4
country,434.0,4
report,354.0,4
united,348.0,4
subject,337.0,4
department,257.0,4
attention,250.0,4
recommend,248.0,4
present,214.0,5
national,193.0,5
country,150.0,5
tax,142.0,5
cost,126.0,5
action,121.0,5
cent,115.0,5
great,113.0,5
plan,107.0,5
work,107.0,5
government,420.0,6
congress,302.0,6
made,239.0,6
foreign,203.0,6
american,194.0,6
conditions,158.0,6
purpose,157.0,6
general,153.0,6
law,147.0,6
make,145.0,6
america,504.0,7
great,136.0,7
freedom,132.0,7
nation,131.0,7
free,110.0,7
hope,94.0,7
goal,93.0,7
space,74.0,7
protect,72.0,7
senate,61.0,7
congress,455.0,8
years,215.0,8
president,199.0,8
future,182.0,8
today,180.0,8
ago,150.0,8
social,143.0,8
state,141.0,8
history,129.0,8
world,127.0,8
employment,97.0,9
executive,93.0,9
measures,93.0,9
people,90.0,9
congress,87.0,9
income,77.0,9
laws,77.0,9
recovery,75.0,9
relief,72.0,9
essential,70.0,9
government,299.0,10
public,268.0,10
interests,203.0,10
people,200.0,10
general,197.0,10
system,188.0,10
money,183.0,10
currency,177.0,10
present,176.0,10
country,155.0,10
war,208.0,11
peace,181.0,11
american,131.0,11
nation,87.0,11
enemy,82.0,11
world,49.0,11
permanent,49.0,11
part,45.0,11
men,43.0,11
congress,42.0,11
work,191.0,12
islands,181.0,12
good,136.0,12
important,121.0,12
duty,107.0,12
powers,84.0,12
battle,80.0,12
force,74.0,12
due,68.0,12
national,65.0,12
act,147.0,13
island,128.0,13
relations,123.0,13
american,114.0,13
convention,103.0,13
government,102.0,13
boundary,101.0,13
action,99.0,13
authority,98.0,13
negotiations,90.0,13
large,262.0,14
government,256.0,14
act,243.0,14
great,228.0,14
policy,211.0,14
amount,209.0,14
states,199.0,14
countries,196.0,14
war,190.0,14
peace,185.0,14
we're,231.0,15
there's,77.0,15
economy,67.0,15
made,65.0,15
research,64.0,15
forward,62.0,15
clean,58.0,15
recovery,54.0,15
bless,50.0,15
job,45.0,15
states,438.0,16
public,317.0,16
country,297.0,16
service,294.0,16
people,261.0,16
national,206.0,16
subject,180.0,16
rights,180.0,16
law,179.0,16
constitution,179.0,16
public,317.0,17
country,274.0,17
time,270.0,17
congress,229.0,17
corporations,188.0,17
commerce,172.0,17
matter,153.0,17
interstate,142.0,17
law,133.0,17
make,132.0,17
war,293.0,18
men,123.0,18
nations,116.0,18
world,115.0,18
great,100.0,18
europe,78.0,18
military,70.0,18
time,69.0,18
means,69.0,18
power,67.0,18
made,231.0,19
large,175.0,19
consideration,167.0,19
citizens,161.0,19
increase,159.0,19
territory,148.0,19
laws,146.0,19
matter,140.0,19
results,139.0,19
action,136.0,19
mexico,389.0,20
constitution,331.0,20
power,234.0,20
president,193.0,20
war,153.0,20
country,137.0,20
system,127.0,20
